Rk,School,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm Points,Opp Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
90,Florida International,33,11,22,0.333,-8.01,-2.17,5,11,9,6,1,12,73.6,76.5,40.2,26.7,61.2,0.437,8.61,25.5,0.338,11.5,17.2,0.67,10.4,31.6,14.1,10.2,4.09,13.7,18
91,Florida NCAA,36,24,12,0.667,15.17,8.81,11,7,14,1,3,7,85.6,79.2,40.7,29.9,65.3,0.458,7.78,22.6,0.345,17.9,25.1,0.715,14.6,42.3,15.2,6.69,5.25,11.7,18.4
92,Florida State,33,17,16,0.515,9.52,9.27,10,10,10,7,4,7,76.5,76.3,40.2,27.4,60.5,0.453,6.06,19.1,0.317,15.8,22.3,0.707,10.2,33.3,12.3,9.24,4.3,11.9,19.7
93,Fordham,33,13,20,0.394,-0.46,1.48,6,12,6,11,4,6,70.5,72.4,40.8,24.2,60.4,0.4,8.03,25.5,0.315,14.1,21.2,0.662,13,37.1,12.7,8.03,4.73,12.9,20.2
94,Fresno State,33,12,21,0.364,-3.29,3.5,4,14,7,9,3,9,67.7,73.9,40.6,24.6,54.4,0.453,6.94,20.9,0.332,11.5,16.8,0.685,7.88,31.6,12.5,6.15,2.45,12.6,15.8
95,Furman,33,17,16,0.515,0.21,-1.93,10,8,12,3,4,10,79.5,75.9,40.6,27.6,62.2,0.444,9.7,29.9,0.324,14.6,20,0.728,11.2,37.8,16.2,7.12,2.88,11.8,16
96,Gardner-Webb,33,17,16,0.515,-4.66,-1.73,11,5,9,4,6,8,73.5,73.2,40.5,26.3,60.4,0.435,7.55,21.9,0.345,13.4,21.3,0.631,11.2,38.2,12.7,5.85,2.36,11.7,19.2
97,George Mason,32,20,12,0.625,6.36,1.85,9,9,14,3,5,7,71,65.9,40,24.7,53.8,0.46,6.81,19.9,0.342,14.8,19.9,0.743,10.1,36,11.4,5.47,3.44,11.8,16.5
98,George Washington,32,15,17,0.469,-1.03,-0.06,4,14,12,6,1,9,76.8,77.3,41.1,26.3,59.4,0.442,8.97,24.9,0.361,15.3,20.4,0.746,9.16,36.9,12.3,5.91,4.78,12.4,14.5
99,Georgetown,32,9,23,0.281,0.68,7.72,2,18,7,12,2,10,70.8,77.9,40.3,24.2,58.3,0.415,8.28,23.9,0.346,14.1,19.8,0.714,12.2,34.1,12.2,5.72,3.06,12.2,16.7
100,Georgia,37,20,17,0.541,8.63,8.63,6,12,13,6,6,6,74.7,74.7,40.1,25.5,59.3,0.43,8.11,23.9,0.34,15.6,21.7,0.72,9.89,35.6,11.8,6.41,3.27,11.4,16.2
101,Georgia Southern,33,9,24,0.273,-8.44,-2.53,8,10,6,6,2,14,73.3,79.2,40.5,25.7,59.7,0.43,9.36,26.6,0.352,12.6,17.3,0.732,10.5,34.2,10.7,6.91,4,13.2,20.1
102,Georgia State,31,14,17,0.452,-4.59,-2.59,8,10,9,5,5,11,76.5,74.8,40.3,27.6,63.5,0.435,7.55,23.2,0.326,13.7,18.1,0.757,10.5,37.4,11.8,5.77,2.87,9.71,17.5
103,Georgia Tech,32,14,18,0.438,4.6,8.82,7,13,8,7,4,9,71,75.2,40.6,25.3,60.1,0.421,7.94,24.4,0.326,12.4,17.5,0.709,11.5,38.1,13.3,4.38,4,12.3,16.5
104,Gonzaga NCAA,35,27,8,0.771,17.93,4.02,14,2,13,2,8,2,84.5,69.1,40,32,61.8,0.518,6.94,19.3,0.361,13.6,18.9,0.721,10.8,38.7,16.7,6.66,3.86,9.77,15.6
105,Grambling NCAA,36,21,15,0.583,-9.63,-5.48,14,4,9,3,7,9,67.7,69.6,40.5,23.9,54.3,0.44,5.14,15.2,0.338,14.8,20.8,0.708,9.61,32.2,9.83,7.39,3.19,13.1,16
106,Grand Canyon NCAA,35,30,5,0.857,10.45,-0.52,17,3,16,0,8,3,79.1,67,40.1,26.4,57.4,0.46,7,20.8,0.336,19.3,25.8,0.749,11.8,38.1,12.1,8.26,5.49,12.3,17.9
107,Green Bay,32,18,14,0.563,-5.64,-4.07,13,7,10,5,8,8,69,69,40.3,24.4,54.4,0.448,8.91,26.3,0.339,11.4,15.8,0.722,8.84,33.2,12.9,4.38,2.16,12,17.3
108,Hampton,33,9,24,0.273,-15.82,-5.29,3,15,5,9,1,12,71.8,76.4,40,25.8,60.9,0.424,7.3,23,0.318,12.8,17.9,0.714,11.3,37,12.8,5.85,3.73,12.5,16.3
109,Harvard,27,14,13,0.519,-4.58,-2.08,5,9,9,5,5,8,70.4,71.7,40.4,24.6,56.1,0.439,7.41,22.1,0.336,13.7,19.5,0.702,9.26,34.9,13,6.22,4.33,12.1,14.8
110,Hawaii,34,20,14,0.588,-0.07,-2.57,11,9,13,6,4,6,72.3,68.7,40.4,24.8,54.1,0.458,7.79,22.8,0.341,14.9,20.8,0.718,8.44,34,12.2,4.62,2.59,12.4,17.5
111,High Point,36,27,9,0.75,2.15,-4.83,13,3,16,2,7,5,83.9,74.4,40.7,27.8,60.1,0.462,8.33,24.4,0.341,20.1,25.8,0.778,13.2,40,11.9,5.06,3.33,11.1,18.1
112,Hofstra,33,20,13,0.606,2.31,-1.98,12,6,11,2,5,10,74.2,68.5,40.2,27.4,58.1,0.471,10,27,0.371,9.42,12.5,0.753,7.7,32.8,15.4,6.18,3.48,10.4,14.5
113,Holy Cross,33,10,23,0.303,-17.12,-7.87,6,12,5,8,4,14,66.5,74.6,40.2,24.7,56.3,0.439,7.55,21.3,0.354,9.55,14.4,0.662,8.27,32.7,11.1,4.03,3.3,11,16.1
114,Houston Christian,29,6,23,0.207,-19.37,-3.89,4,14,5,8,1,15,71.5,83.4,40.2,26.2,60.4,0.433,5.07,16.8,0.301,14.1,21.9,0.644,11.9,37.1,11.4,5.59,2.83,15.3,14.6
115,Houston NCAA,37,32,5,0.865,25.69,9.8,15,3,17,0,7,3,73.5,57.6,40.4,26.5,60.4,0.439,7.73,22.2,0.348,12.8,18.6,0.687,13.4,37.1,13.1,9.78,4.81,8.92,17.8
116,Howard NCAA,35,18,17,0.514,-8.69,-8.02,9,5,9,4,6,9,74.9,74.3,40.6,24.8,55.2,0.449,8.03,21.6,0.371,17.3,23.1,0.751,11.3,35.9,13.9,6.06,2.8,15.5,18.9
117,Idaho,32,11,21,0.344,-11.29,-4.69,5,13,6,10,4,10,67.8,71.2,40.2,24.5,55.6,0.442,7.59,22.7,0.335,11.2,15.2,0.733,7.94,31.6,12.3,5.59,3.19,11.5,17.7
118,Idaho State,34,14,20,0.412,-7.49,-5.11,7,11,8,5,4,13,70.5,70.1,40.7,25.7,55.9,0.46,6.41,19.5,0.329,12.6,18.4,0.686,9.91,32.1,12,7,3.56,10.9,16.1
119,Illinois NCAA,38,29,9,0.763,19.56,9.54,14,6,15,3,6,5,83.4,73.3,40.3,29.1,62,0.469,8.34,23.9,0.349,16.9,23,0.736,12.8,40.9,13.3,4.37,3.76,10.6,15.2
120,Illinois State,32,15,17,0.469,-1.38,0.43,9,11,10,6,4,8,66.5,67.7,40,23.2,54.8,0.424,6.06,20.8,0.292,14,19.7,0.711,10.1,34.8,12.5,5.56,2.25,11.3,15.7
121,Illinois-Chicago,33,12,21,0.364,-1.61,1.3,4,16,6,9,3,10,70.3,71.5,40.8,25.6,58.4,0.438,8.7,23.9,0.363,10.4,15.2,0.688,8.21,33.6,13.9,6.15,5.33,12.4,17.7
122,Incarnate Word,31,8,23,0.258,-16.4,-7.92,3,15,5,8,3,14,72.3,78.6,40.3,24.8,57.9,0.428,7.61,23,0.331,15.1,20.8,0.727,10.7,36.5,12.2,6.03,4.13,16,19
123,Indiana,33,19,14,0.576,7.74,9.74,10,10,13,5,4,6,72.3,74.3,40,26.6,56,0.476,5.03,15.5,0.324,14,21.1,0.664,8.88,35,15.3,5.18,4.03,12.1,16.9
124,Indiana State,39,32,7,0.821,13.44,2.26,17,3,16,1,9,4,84.8,73.2,40.1,29.3,57.9,0.505,10.9,28.7,0.382,15.4,19.3,0.796,7.15,35.5,17.9,6.1,1.85,11.6,16.4
125,Iona,33,16,17,0.485,-5.19,-5.95,10,10,9,5,5,8,71.3,70.6,40,26,60.1,0.432,8.21,23.3,0.353,11.2,17.2,0.652,10.5,31.8,14.3,8.85,2.91,10.2,17.8
126,Iowa,34,19,15,0.559,13,9.26,10,10,13,4,4,9,83.1,79.4,40.1,30.1,63.4,0.476,6.65,18.9,0.351,16.2,20.9,0.774,9.79,35.6,17.8,6.82,3.94,9.62,16.9
127,Iowa State NCAA,37,29,8,0.784,22.3,8.51,13,5,18,0,5,5,75.3,61.5,40,27.1,58.5,0.463,6.65,18.6,0.358,14.5,20.7,0.702,10.6,33.9,15.7,10.3,3.05,10.5,16.5
128,IU Indy,32,6,26,0.188,-21.31,-4.62,2,18,4,10,2,14,65.9,79.8,40.2,24.2,55.3,0.438,3.44,13.9,0.248,14,19,0.736,9.88,29.5,10.4,7.63,2.09,14.6,17.4
129,Jackson State,32,15,17,0.469,-11.5,-7.15,11,7,6,2,7,13,71.2,75.6,40.2,25,60.1,0.415,6.59,20.3,0.325,14.7,20.9,0.704,13,36.3,12,7.47,3.47,13.4,17
130,Jacksonville,33,16,17,0.485,-9.84,-4.87,5,11,11,3,4,14,71.8,72.4,40.2,25.3,58.1,0.435,6.48,19.7,0.329,14.7,20.8,0.705,12.5,36.6,10.8,7.73,3.03,13.1,19.6
131,Jacksonville State,32,14,18,0.438,-3.55,-3.14,6,10,8,7,5,10,70,66.4,40.2,25.1,55.6,0.452,5.31,15.8,0.335,14.5,20.7,0.702,11.6,36.8,11.1,6.75,3.94,13.5,16.4
132,James Madison NCAA,36,32,4,0.889,8.19,-3.75,15,3,14,1,12,2,83.2,69.6,40.4,29.8,62.6,0.476,8.53,23.7,0.36,15.1,21.4,0.703,11.5,38.6,16,9.03,3.14,10.9,17.3
133,Kansas City,32,16,16,0.5,-5.32,-4.5,10,6,10,3,6,9,71.9,69.3,40.6,25.4,59.5,0.427,8.41,25.3,0.332,12.7,17.8,0.713,11.5,36.3,12.8,5.97,3.75,12,19.5
134,Kansas NCAA,34,23,11,0.676,16.35,11.32,10,8,15,1,3,7,75.6,69.9,40.1,28.2,57.9,0.488,5.74,17.3,0.332,13.4,18.5,0.721,8.24,36.1,19,7.15,3.91,11.7,14.8
135,Kansas State,34,19,15,0.559,11.06,9.97,8,10,15,3,2,9,72.2,71.1,41,24.6,56.4,0.436,7.38,23.2,0.318,15.6,21.6,0.72,11.1,37.5,14,5.94,4.09,14.8,17.5
136,Kennesaw State,31,15,16,0.484,-8.02,-5.84,6,10,9,5,4,11,82.8,80.8,40.3,29.3,65.6,0.446,9.42,28.6,0.329,14.8,22,0.674,12.3,38.8,14.8,7.35,4.06,12.1,20.1
137,Kent State,34,17,17,0.5,-0.76,-2.54,8,10,9,6,4,9,74.8,71.3,40.7,26.2,59.3,0.441,8.29,23.2,0.358,14.2,19,0.746,11.1,34.6,12.8,6.88,2.62,11.9,17.9
138,Kentucky NCAA,33,23,10,0.697,16.79,7.46,13,5,14,4,7,3,89,79.7,40.5,32,64.6,0.495,9.91,24.2,0.409,15.2,19.7,0.772,10.1,37.6,17.5,7.52,6.27,10.7,17.5
139,La Salle,33,16,17,0.485,-1.62,0.85,6,12,11,6,3,10,72.7,73.1,40.6,26.6,61.8,0.43,8.52,24.6,0.346,11,15.2,0.723,10.2,34.6,14.7,6.33,3.33,9.58,16.7
140,Lafayette,32,11,21,0.344,-11.17,-6.01,10,8,5,10,6,9,62.8,67.3,40.6,23.3,57,0.408,7.09,22.8,0.312,9.22,13.7,0.674,8.72,33.3,13.2,6.56,4.34,11.6,16.2
141,Lamar,33,19,14,0.576,-5.47,-8.28,12,6,11,3,5,11,77.8,72.9,40.6,27.6,61.4,0.45,7.52,21.7,0.346,15,20.6,0.73,12.5,38.1,16.5,7.06,3.73,12.9,18.6
142,Le Moyne,32,15,17,0.469,-11.07,-9.55,9,7,10,3,5,14,72.4,70.2,40.2,25.7,59.6,0.432,9.84,28.4,0.346,11.2,14.7,0.761,8.44,34.2,15.7,8,3.22,11.5,15.3
143,Lehigh,32,14,18,0.438,-7.47,-6.6,9,9,6,7,8,11,72.7,71,40.9,25.9,59,0.439,7.19,22.3,0.322,13.7,18.6,0.735,8.22,35.5,13.2,7.22,2.28,12.1,16.6
144,Liberty,32,18,14,0.563,1.58,-1.56,7,9,12,3,2,8,73.8,65.5,40.3,27,57.8,0.467,10.1,27.5,0.368,9.75,14.8,0.661,8.72,34,15.9,5.22,2.31,10.4,15
145,Lindenwood,31,9,22,0.29,-18.73,-7.23,3,15,4,10,3,12,65.1,73.1,40.2,22.5,55.7,0.403,4.81,17,0.283,15.4,21.1,0.732,8.77,31.7,8.03,6.16,2.48,12,17.5
146,Lipscomb,32,20,12,0.625,-1.94,-5.04,11,5,12,2,6,9,82.1,76.5,40,30,60.8,0.493,9.28,24.4,0.38,12.8,16.7,0.767,7.63,33.3,14.5,6.13,3.44,10,12.9
147,Little Rock,34,21,13,0.618,-3.42,-8.24,14,4,14,4,6,6,77.3,72.5,40.3,28.1,59.5,0.473,6.38,18.5,0.345,14.6,19.5,0.748,10.9,36.6,14.8,5.97,4.71,12.3,17.5
148,Long Beach State NCAA,36,21,15,0.583,-1.19,-1.19,10,10,8,5,9,7,77.4,76,40.3,27.6,62.2,0.444,5.39,17.7,0.305,16.8,23.8,0.709,12.5,38.9,15.3,7.92,4.19,12.6,17.2
149,Long Island University,29,7,22,0.241,-17.86,-7.58,6,10,5,5,1,17,66.5,76.8,40.3,24.3,58.3,0.418,5.41,17.4,0.31,12.4,18.3,0.677,9.38,35,12.5,6.45,3.03,14.6,19.2
150,Longwood NCAA,35,21,14,0.6,-2.04,-4.76,6,10,13,3,6,10,74.7,68.5,40.6,26.6,58.7,0.453,5.74,16.9,0.341,15.8,23,0.687,13.4,38.4,12.7,6.97,2.51,12.7,18.3
151,Louisiana,33,19,14,0.576,-0.6,-2.67,10,8,11,3,5,9,75.9,71.7,40,27.8,61.4,0.454,7.61,22.5,0.338,12.6,17.2,0.729,11.2,34.3,12.4,8.61,3.76,11.8,17.9
152,Louisiana State,33,17,16,0.515,8.14,6.75,9,9,12,6,3,7,76.4,75,40.2,26.3,57.8,0.455,7.76,21.7,0.357,16,22.1,0.723,10.5,35.7,11.8,8,3.79,13.2,17.4
153,Louisiana Tech,32,22,10,0.688,4.83,-1.69,12,4,14,2,8,7,74.8,64.5,40.3,25.7,56.3,0.457,7.16,19.8,0.362,16.2,23.1,0.701,11.8,38.9,12.6,7.5,5.03,12.4,15.6
154,Louisiana-Monroe,30,11,19,0.367,-10.05,-2.44,6,12,8,6,3,12,69.9,74.4,40.2,25,59.6,0.42,5.07,17.1,0.296,14.7,22.2,0.665,13.2,37.8,12.7,7.3,2.2,12.5,18
155,Louisville,32,8,24,0.25,0.45,7.51,3,17,7,11,1,10,72,79.1,40.2,25,57.3,0.436,5.47,17.8,0.306,16.6,22.3,0.746,9.94,34.4,11.1,5.44,2.59,12.8,17
156,Loyola (IL),33,23,10,0.697,6.57,2.42,15,3,15,2,7,5,73.1,67.5,40.3,25.9,57.6,0.45,8.3,23.5,0.354,13,19.1,0.68,9.61,36.8,16.6,7.06,5.03,12.8,19.5
157,Loyola (MD),32,7,25,0.219,-16.17,-6.94,5,13,2,11,5,13,64,71.9,40.5,23,55.2,0.417,7.19,21.4,0.336,10.8,16.8,0.644,10.3,34.3,12.8,5.91,2.16,13.6,16.2
158,Loyola Marymount,31,12,19,0.387,-0.06,0.31,5,11,8,8,3,7,72.4,71.4,40,25.9,57.8,0.448,8.42,22.9,0.368,12.2,16.7,0.73,9.9,34.9,11.9,3.68,2.61,10.7,16.3
159,Maine,32,15,17,0.469,-6.39,-4.87,7,9,8,4,5,13,67.6,67.5,40.3,25,57.2,0.437,5.41,18.3,0.295,12.2,16.9,0.719,7.97,32.6,12.4,8.41,3.28,11.4,16.3
160,Manhattan,30,7,23,0.233,-15.28,-4.86,4,16,3,10,4,12,66.2,75.8,40.5,24.7,59.7,0.413,7.3,23.2,0.315,9.53,13.2,0.722,9.17,33,14.4,7.53,2.93,13.4,13.9
161,Marist,31,18,13,0.581,-5.64,-8.09,12,8,9,4,8,8,64.6,62.2,40,23.4,52.8,0.443,6.84,19.2,0.356,11,15.7,0.697,7.16,32.1,12.3,6.84,2.81,12.2,16.2
162,Marquette NCAA,37,27,10,0.73,19.27,11.02,14,6,14,2,7,5,78.1,69.8,40.1,29.1,61,0.478,8.84,25.1,0.352,10.9,15.6,0.703,8.7,32.8,15.9,8.57,3.54,9.97,15
163,Marshall,33,13,20,0.394,-5.42,-1.39,7,11,8,7,3,9,73.8,76.7,40,26.2,64.2,0.408,8.18,26.4,0.31,13.2,18.6,0.711,12.3,39.5,14.9,6.97,4.36,11.9,16.1
164,Maryland,33,16,17,0.485,10.6,7.44,7,13,11,6,4,8,69,65.9,40.5,23.2,56.2,0.413,6.09,21.1,0.289,16.5,22.9,0.72,11.5,35.7,10.9,6.58,4.52,11.7,17.5
165,Maryland-Baltimore County,32,11,21,0.344,-8.67,-5.93,6,10,6,9,5,12,78.7,80.7,40.2,29.8,64,0.466,7.97,22.3,0.357,11,15.8,0.698,9.5,36.8,13,5.09,3.94,13.1,15.8
166,Maryland-Eastern Shore,29,9,20,0.31,-17.33,-6.33,4,10,9,4,0,15,65.2,70.6,40.5,23,57.4,0.401,5.79,19.7,0.295,13.3,18.6,0.715,10.9,35,10.8,7,2.79,13.8,17.5
167,Massachusetts,31,20,11,0.645,7.59,0.88,11,7,13,3,4,6,77.5,70.7,40.2,27.7,61.4,0.451,6.74,21.5,0.313,15.4,22,0.699,13.4,38.3,15.6,7.61,3,11.1,18.7
168,Massachusetts-Lowell,32,22,10,0.688,-1.28,-6.07,11,5,12,3,10,7,80,70.7,40.3,28.5,60.1,0.475,5.81,17.7,0.329,17.2,23.3,0.736,11.5,40.8,12.7,6.94,4.91,13.3,15
169,McNeese State NCAA,34,30,4,0.882,6.42,-6.81,17,1,18,0,11,3,80,62.2,40,28.6,58.7,0.487,7.56,19.7,0.383,15.2,21.9,0.693,11.2,36.1,14.9,10.3,3.38,9.68,17.3
170,Memphis,32,22,10,0.688,9,4.25,11,7,13,2,7,6,80.5,75.8,40.3,28,61,0.46,8.31,23.7,0.35,16.1,22.2,0.725,12,37,13.7,8.56,4.53,13.1,17.2
171,Mercer,33,16,17,0.485,-4.65,-2.55,8,10,10,6,4,9,71.2,71.8,40,26.7,59.4,0.449,6.36,18.4,0.345,11.5,17.1,0.669,11.2,34.3,13.2,6.94,3.42,11.1,19.1
172,Merrimack,33,21,12,0.636,-5.24,-8.43,13,3,13,2,7,9,69.2,65.4,40.3,24.1,55,0.438,7.3,23.6,0.309,13.7,18.8,0.729,7.88,31.3,12.4,9.85,3.67,13.2,16.1
173,Miami (FL),32,15,17,0.469,9.59,7.46,6,14,11,6,2,9,75.8,73.6,40.2,27.8,61.3,0.454,8.94,24.8,0.361,11.3,15.1,0.745,10.1,36.7,14.2,7.16,3.13,12.1,13.1
174,Miami (OH),32,15,17,0.469,-6.45,-4.08,9,9,9,6,6,10,70.6,70,40.2,24.9,56.3,0.443,8.09,22.4,0.361,12.6,17.9,0.706,8.03,33.2,14.4,6.31,3.09,11.7,17.3
175,Michigan,32,8,24,0.25,5.28,11.34,3,17,5,10,2,10,72.9,79,40.5,25.9,58.4,0.444,7.97,22.2,0.359,13.2,18.7,0.703,10.6,35.4,12.5,4.16,3.56,12.9,17.2
176,Michigan State NCAA,35,20,15,0.571,17.72,10.89,10,10,14,4,3,7,72.9,66.1,40.1,27.1,58.8,0.461,6.49,17.9,0.363,12.2,17.2,0.708,10.1,34.7,15.9,7.09,3.77,10,16.6
177,Middle Tennessee,33,14,19,0.424,-7.45,-0.52,7,9,11,6,1,10,65.7,70.3,40.8,22.5,55.8,0.402,7.3,23.5,0.311,13.5,19.1,0.704,10.4,34.8,9.97,5.3,4.18,14,15.6
178,Milwaukee,35,20,15,0.571,-5.01,-4.47,12,8,12,4,6,9,79.5,78.7,40.7,28,62.8,0.446,7.91,24.6,0.322,15.6,21.4,0.727,13.5,39,14.2,5.94,4.43,12.5,18.1
179,Minnesota,34,19,15,0.559,9.51,6.4,9,11,16,4,3,9,75,71.9,40.1,26.8,56.8,0.472,7.88,22.2,0.355,13.6,19.7,0.69,10.1,34.9,17.3,6.29,4.41,12,16.1
180,Mississippi,32,20,12,0.625,8.3,7.27,7,11,14,4,4,7,74.9,73.9,40,26.2,58.6,0.447,7.53,20.6,0.365,15,20.6,0.728,10.4,33.5,15.1,7.84,5.75,10.8,16.3
